# iroha-telemetry-metric-catalog-v2
txs	txs	Transactions committed	registered
isi	isi	Iroha special instructions handled by this peer	registered
isi_times	isi_times	Time to handle isi in this peer	registered
tx_amounts	tx_amount	average amount involved in a transaction on this peer	registered
block_height	block_height	Current block height	registered
block_height_non_empty	block_height_non_empty	Current count of non-empty blocks	registered
last_commit_time_ms	last_commit_time_ms	Time (since block creation) it took for the latest block to be committed by this peer	registered
last_block_committed_at_ms	last_block_committed_at_ms	Millisecond UNIX timestamp when this peer last processed a committed block	registered
last_non_empty_block_committed_at_ms	last_non_empty_block_committed_at_ms	Millisecond UNIX timestamp when this peer last processed a committed non-empty block	registered
commit_time_ms	commit_time_ms	Average block commit time on this peer	registered
slot_duration_ms	iroha_slot_duration_ms	Slot duration distribution in milliseconds (NX-18 finality SLO).	registered
slot_duration_ms_latest	iroha_slot_duration_ms_latest	Latest observed slot duration (ms) for NX-18 finality tracking.	registered
da_quorum_ratio	iroha_da_quorum_ratio	Rolling fraction of slots that satisfied the DA quorum (0-1).	registered
sm_syscall_total	iroha_sm_syscall_total	SM helper syscalls observed (labels: kind, mode)	registered
sm_openssl_preview	iroha_sm_openssl_preview	Whether the OpenSSL-backed SM preview helpers are enabled (0/1).	registered
zk_halo2_enabled	iroha_zk_halo2_enabled	Whether Halo2 verification is enabled for the host (0/1).	registered
zk_halo2_curve_id	iroha_zk_halo2_curve_id	Active Halo2 curve identifier (0=Pallas, 1=Pasta, 2=Goldilocks, 3=Bn254).	registered
zk_halo2_backend_id	iroha_zk_halo2_backend_id	Active Halo2 backend identifier (0=IPA, 1=Unsupported).	registered
zk_halo2_max_k	iroha_zk_halo2_max_k	Maximum supported Halo2 circuit exponent (k).	registered
zk_halo2_verifier_budget_ms	iroha_zk_halo2_verifier_budget_ms	Halo2 verifier soft budget in milliseconds.	registered
zk_halo2_verifier_max_batch	iroha_zk_halo2_verifier_max_batch	Maximum proofs allowed in a Halo2 batch verification.	registered
zk_halo2_verifier_worker_threads	iroha_zk_halo2_verifier_worker_threads	Number of worker threads serving ZK lane verification.	registered
zk_halo2_verifier_queue_cap	iroha_zk_halo2_verifier_queue_cap	Effective ZK lane queue capacity.	registered
zk_lane_enqueue_wait_total	iroha_zk_lane_enqueue_wait_total	Count of ZK lane admissions that required a bounded wait.	registered
zk_lane_enqueue_timeout_total	iroha_zk_lane_enqueue_timeout_total	Count of ZK lane admissions that timed out under saturation.	registered
zk_lane_drop_total	iroha_zk_lane_drop_total	Terminal ZK lane drops grouped by reason.	registered
zk_lane_retry_enqueued_total	iroha_zk_lane_retry_enqueued_total	Count of important tasks enqueued into the ZK lane retry ring.	registered
zk_lane_retry_replayed_total	iroha_zk_lane_retry_replayed_total	Count of tasks replayed from the ZK lane retry ring.	registered
zk_lane_retry_exhausted_total	iroha_zk_lane_retry_exhausted_total	Count of tasks dropped after exhausting ZK lane retry attempts.	registered
zk_lane_pending_depth	iroha_zk_lane_pending_depth	Current number of tasks buffered in ZK lane dispatch backlog.	registered
zk_lane_retry_ring_depth	iroha_zk_lane_retry_ring_depth	Current number of tasks buffered in the ZK lane retry ring.	registered
zk_verifier_cache_events_total	iroha_zk_verifier_cache_events_total	Verifier cache events grouped by cache name and event (hit|miss|insert|evict).	registered
confidential_gas_base_verify	iroha_confidential_gas_base_verify	Base gas charged when verifying a confidential proof.	registered
confidential_gas_per_public_input	iroha_confidential_gas_per_public_input	Gas multiplier per confidential proof public input.	registered
confidential_gas_per_proof_byte	iroha_confidential_gas_per_proof_byte	Gas multiplier per confidential proof byte.	registered
confidential_gas_per_nullifier	iroha_confidential_gas_per_nullifier	Gas multiplier per confidential nullifier.	registered
confidential_gas_per_commitment	iroha_confidential_gas_per_commitment	Gas multiplier per confidential commitment.	registered
ivm_gas_schedule_hash_lo	iroha_ivm_gas_schedule_hash_lo	Lower 64 bits of the canonical IVM gas schedule hash.	registered
ivm_gas_schedule_hash_hi	iroha_ivm_gas_schedule_hash_hi	Upper 64 bits of the canonical IVM gas schedule hash.	registered
confidential_tree_commitments	iroha_confidential_tree_commitments	Current number of confidential commitments per asset.	registered
confidential_tree_depth	iroha_confidential_tree_depth	Current Merkle depth for the confidential tree per asset.	registered
confidential_root_history_entries	iroha_confidential_root_history_entries	Root history entries retained for the confidential tree per asset.	registered
confidential_frontier_checkpoints	iroha_confidential_frontier_checkpoints	Frontier checkpoints tracked for the confidential tree per asset.	registered
confidential_frontier_last_height	iroha_confidential_frontier_last_checkpoint_height	Height of the most recent frontier checkpoint per asset.	registered
confidential_frontier_last_commitments	iroha_confidential_frontier_last_checkpoint_commitments	Commitment count captured at the latest frontier checkpoint per asset.	registered
confidential_root_evictions_total	iroha_confidential_root_evictions_total	Confidential root history eviction counter per asset.	registered
confidential_frontier_evictions_total	iroha_confidential_frontier_evictions_total	Confidential frontier eviction counter per asset.	registered
oracle_price_local_per_xor	iroha_oracle_price_local_per_xor	Latest oracle TWAP quoted as local tokens per XOR.	registered
oracle_twap_window_seconds	iroha_oracle_twap_window_seconds	TWAP window length used by the oracle in seconds.	registered
oracle_haircut_basis_points	iroha_oracle_haircut_basis_points	Effective haircut applied by the oracle (basis points).	registered
oracle_staleness_seconds	iroha_oracle_staleness_seconds	Oracle staleness in seconds at the time of the last settlement.	registered
oracle_observations_total	iroha_oracle_observations_total	Number of oracle observations aggregated per feed slot.	registered
oracle_aggregation_duration_ms	iroha_oracle_aggregation_duration_ms	Oracle aggregation wall-clock duration in milliseconds.	registered
oracle_rewards_total	iroha_oracle_rewards_total	Total mantissa units rewarded to oracle providers per feed.	registered
oracle_penalties_total	iroha_oracle_penalties_total	Total mantissa units slashed from oracle providers per feed.	registered
oracle_feed_events_total	iroha_oracle_feed_events_total	Total oracle feed events aggregated per feed.	registered
oracle_feed_events_with_evidence_total	iroha_oracle_feed_events_with_evidence_total	Oracle feed events that carried at least one evidence hash.	registered
